User,GestureType,IterationNumber,#TrainingExamples,TrainingSetSize,TrainingSetContents,Candidate,RecoResultGestureType,Correct/Incorrect,RecoResultScore,RecoResultBestMatch,RecoResultNBestSorted
s05,arrow,1,1,16,,s05-arrow-5,arrow,1,0.7983614050768492,s05-arrow-9,s05-arrow-9-0.7983614050768492:::s05-caret-8-0.7061820585883438:::s05-right_curly_brace-9-0.7027470787377437:::s05-x-2-0.6574778912039658:::s05-question_mark-2-0.6412497926930243:::s05-right_sq_bracket-1-0.6132255117736615:::s05-delete_mark-6-0.54062824086511:::s05-pigtail-2-0.5062704273965692:::s05-star-2-0.49518067961202417:::s05-v-2-0.47285631947870177:::s05-check-1-0.4632402380222771:::s05-left_curly_brace-8-0.45781657312040414:::s05-left_sq_bracket-9-0.4170515542979748:::s05-triangle-1-0.40221451820686216:::s05-rectangle-1-0.3872805570582415:::s05-circle-2-0.309794186302357:::
s05,caret,1,1,16,,s05-caret-9,caret,1,0.9178435098875131,s05-caret-8,s05-caret-8-0.9178435098875131:::s05-question_mark-2-0.8806750974736071:::s05-arrow-9-0.6845053193814471:::s05-right_curly_brace-9-0.6683299317647589:::s05-right_sq_bracket-1-0.6560459230169162:::s05-pigtail-2-0.6119414958451269:::s05-delete_mark-6-0.6026454175252529:::s05-x-2-0.5441739828767285:::s05-check-1-0.5361457766998482:::s05-left_curly_brace-8-0.4506363485474433:::s05-v-2-0.4267837843127552:::s05-left_sq_bracket-9-0.4144055262761446:::s05-star-2-0.4091195612257742:::s05-triangle-1-0.4035086051656295:::s05-rectangle-1-0.3446158200809333:::s05-circle-2-0.2792860809061012:::
s05,check,1,1,16,,s05-check-9,check,1,0.9556046912042534,s05-check-1,s05-check-1-0.9556046912042534:::s05-left_sq_bracket-9-0.7976893308040536:::s05-left_curly_brace-8-0.7647678185924366:::s05-v-2-0.7304409554727105:::s05-triangle-1-0.685822074918628:::s05-rectangle-1-0.6659739220947469:::s05-circle-2-0.6332839765421305:::s05-right_curly_brace-9-0.6087217809281754:::s05-right_sq_bracket-1-0.5667617195247551:::s05-pigtail-2-0.5277611173855407:::s05-question_mark-2-0.5196025177403566:::s05-caret-8-0.5192171157127063:::s05-x-2-0.5038742328126721:::s05-arrow-9-0.4656814587532633:::s05-delete_mark-6-0.4623800015796523:::s05-star-2-0.4231888103312432:::
s05,circle,1,1,16,,s05-circle-5,circle,1,0.9679266371901443,s05-circle-2,s05-circle-2-0.9679266371901443:::s05-rectangle-1-0.8678560657281392:::s05-triangle-1-0.7900567789564034:::s05-left_sq_bracket-9-0.6640890048475208:::s05-v-2-0.6606751855025325:::s05-check-1-0.610248632400878:::s05-left_curly_brace-8-0.5844201987489539:::s05-x-2-0.503099153025454:::s05-pigtail-2-0.4963203234230895:::s05-right_sq_bracket-1-0.3684957320652523:::s05-right_curly_brace-9-0.33230247524804046:::s05-delete_mark-6-0.31233920367141466:::s05-caret-8-0.29603658948755995:::s05-arrow-9-0.28807129463056513:::s05-question_mark-2-0.27158208406321416:::s05-star-2-0.24043110970464387:::
s05,delete_mark,1,1,16,,s05-delete_mark-7,delete_mark,1,0.9027774042843255,s05-delete_mark-6,s05-delete_mark-6-0.9027774042843255:::s05-caret-8-0.6317037440274884:::s05-question_mark-2-0.6257843832798223:::s05-arrow-9-0.5807634502737802:::s05-v-2-0.5617350333745716:::s05-check-1-0.5068018961399603:::s05-triangle-1-0.4642316331606047:::s05-x-2-0.45511865366118676:::s05-rectangle-1-0.4404109155885054:::s05-right_sq_bracket-1-0.4374200245211828:::s05-right_curly_brace-9-0.4334708193188971:::s05-pigtail-2-0.4321848395512947:::s05-star-2-0.4305735814674033:::s05-left_curly_brace-8-0.40103103650625127:::s05-circle-2-0.3641874858888712:::s05-left_sq_bracket-9-0.3417663179229553:::
s05,left_curly_brace,1,1,16,,s05-left_curly_brace-2,left_curly_brace,1,0.9338764052837728,s05-left_curly_brace-8,s05-left_curly_brace-8-0.9338764052837728:::s05-left_sq_bracket-9-0.8160226294523448:::s05-v-2-0.7698724237465417:::s05-check-1-0.7588862068133707:::s05-rectangle-1-0.6231584192204043:::s05-right_curly_brace-9-0.6129003605150205:::s05-circle-2-0.578534045652537:::s05-triangle-1-0.5651826658873367:::s05-right_sq_bracket-1-0.5418923886283098:::s05-pigtail-2-0.4945064577110736:::s05-arrow-9-0.460162710967123:::s05-caret-8-0.44524392960230874:::s05-question_mark-2-0.4349188896974867:::s05-star-2-0.39939407860707865:::s05-x-2-0.39320392223491063:::s05-delete_mark-6-0.3790945650802954:::
s05,left_sq_bracket,1,1,16,,s05-left_sq_bracket-10,left_sq_bracket,1,0.9341356788963897,s05-left_sq_bracket-9,s05-left_sq_bracket-9-0.9341356788963897:::s05-left_curly_brace-8-0.809627184965944:::s05-check-1-0.7949536847922158:::s05-rectangle-1-0.7146582257972716:::s05-circle-2-0.7077834689591197:::s05-v-2-0.6822360683751655:::s05-triangle-1-0.6671107283387064:::s05-right_sq_bracket-1-0.5997355312087334:::s05-right_curly_brace-9-0.5532793192692451:::s05-pigtail-2-0.5015886819013731:::s05-x-2-0.46179637795077777:::s05-question_mark-2-0.4251685932236101:::s05-caret-8-0.4004040547080151:::s05-arrow-9-0.35455332986529164:::s05-star-2-0.324217880394839:::s05-delete_mark-6-0.3034788453750983:::
s05,pigtail,1,1,16,,s05-pigtail-6,pigtail,1,0.9316114028047074,s05-pigtail-2,s05-pigtail-2-0.9316114028047074:::s05-caret-8-0.6336998763021744:::s05-x-2-0.6136825301057048:::s05-question_mark-2-0.6092727425406173:::s05-triangle-1-0.6040439058124496:::s05-arrow-9-0.5779348521215053:::s05-rectangle-1-0.5516889274892811:::s05-check-1-0.5151471038310906:::s05-left_curly_brace-8-0.5046586243134026:::s05-circle-2-0.490916682566216:::s05-left_sq_bracket-9-0.48562508493425804:::s05-right_curly_brace-9-0.4829216553272191:::s05-v-2-0.47981875967936305:::s05-right_sq_bracket-1-0.4625181441257581:::s05-delete_mark-6-0.38877486655537874:::s05-star-2-0.3642941618511135:::
s05,question_mark,1,1,16,,s05-question_mark-1,question_mark,1,0.9681974605457737,s05-question_mark-2,s05-question_mark-2-0.9681974605457737:::s05-caret-8-0.869991253140718:::s05-right_sq_bracket-1-0.6523483523277169:::s05-right_curly_brace-9-0.6187153231657568:::s05-delete_mark-6-0.6122115082414559:::s05-pigtail-2-0.6103090937235062:::s05-arrow-9-0.5898071842316177:::s05-check-1-0.5355364466534168:::s05-x-2-0.48609408951529454:::s05-left_curly_brace-8-0.44625417312927373:::s05-left_sq_bracket-9-0.4196755546251172:::s05-triangle-1-0.40810235730402633:::s05-v-2-0.4032046257364642:::s05-star-2-0.3931095592061955:::s05-rectangle-1-0.34428258487746133:::s05-circle-2-0.2924402873150984:::
s05,rectangle,1,1,16,,s05-rectangle-6,rectangle,1,0.9447553203687434,s05-rectangle-1,s05-rectangle-1-0.9447553203687434:::s05-circle-2-0.8468532266104338:::s05-triangle-1-0.824814228858725:::s05-v-2-0.6999088441445158:::s05-left_sq_bracket-9-0.6776122411973913:::s05-check-1-0.6516770343496345:::s05-left_curly_brace-8-0.620996347417003:::s05-x-2-0.598878460597703:::s05-pigtail-2-0.5599944248026321:::s05-right_sq_bracket-1-0.4155411803571766:::s05-right_curly_brace-9-0.38912779312115964:::s05-delete_mark-6-0.3880350598562421:::s05-arrow-9-0.386981586847993:::s05-caret-8-0.36429317774677916:::s05-star-2-0.33493265137253836:::s05-question_mark-2-0.325656163952483:::
