Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,44.724143841525,42.3573314910851,40.8743868904518,40.3276293859495,40.1392437355045,40.3235194132684,40.7779465298424,41.4808028304297,42.1859841405669,42.9334092231876,43.7462779141894,44.6063282544302,45.1765690496876,43.8816100357556,41.1022290463448,37.8423241330566,33.5144290813514,30.4189143081272,28.8998458595599,28.447965515149,29.6450119160639,30.4000063798729,31.4437906784401,32.7906795752505,33.0979674781498,33.0057424247472,32.7174654183246,32.1246810092976,30.063109239129,28.8627238804539,29.4179991412965,31.3599161440103,34.5707062656254,38.3565539119801,42.6944801818174,47.7070441587064,54.3084152272013,58.0632060158933,60.2295411864584,62.1351219633666,61.7948850130968,58.7798612742157,54.3336627092581,48.6260950997345,42.1014967579914,36.1526012140315,32.3253521889196,29.6147639362771,27.6234820621249,25.7140709563985,24.7354444959312,24.1033417050885,22.9351375647501,23.4683894753651,25.2507161594487,27.1488836423762,28.1415277082759,29.067952800344,28.0380765675726,27.6297900234931,27.5648335797347,27.0739675111147,26.7268623855045,27.0857508762016
caret,34.6824189140602,33.8676294647715,33.1927991807484,32.5874689221809,31.9082927380557,30.7265926664003,29.6088939036513,28.6069875578569,27.6328317917223,26.7511664590029,25.7898740971212,25.0026437077204,24.1969466385743,23.3832027873642,22.7693405468813,22.1435131562281,21.0252830261354,20.1002989717263,19.391373612398,18.7835478640875,18.4164992645242,18.4882888230718,18.9002992611925,19.6157199377703,20.3589574761129,21.1931518965115,21.6522131150617,21.9229983882836,22.8279899231327,24.0942435678229,25.103042614929,26.5295168434597,28.3436397817284,28.8487237593728,29.1949887346598,29.1712180027221,28.3165538231321,26.9845911278844,25.7867013921745,24.6463732172895,23.8084345906127,22.6221158691811,21.8503495918032,21.2183527763513,20.8697911937063,20.8326931079345,20.5060377684172,20.396965471695,20.5587507393621,20.7707912418951,21.3177626912317,21.7102066938847,21.7325672834257,21.6117700798634,21.6121220889615,21.804837932391,22.0558134821282,22.6759898678855,23.5368955874449,24.3883317105282,25.3929706737034,26.3936758095519,27.4846437817846,28.2905772039843
check,36.0050400076137,36.3171736735354,36.4934006461254,35.9677025545624,35.9219702755972,36.2318263600442,36.048344684046,36.1399534343733,36.223015791961,36.8008232894438,37.3693400039734,38.0304454073527,38.7897187992652,39.6044605662645,40.9300895799234,41.3853450942988,40.9251751439336,39.2617381205704,37.2295773200145,34.8279606635822,32.1730634991991,29.7722660828675,27.2761763679427,24.5976652853932,23.4497108699083,22.8892049470691,22.627551295087,22.2942150812387,21.4441656321817,20.5445445284697,19.7308527033317,18.3104934171677,16.9533779953048,15.8037625854739,15.0123938591316,14.3013204961604,14.1291238711262,15.6004476614307,17.4366715787829,19.3310082479979,21.2772895264389,22.7582843726208,23.3622584817584,24.0802429808956,25.0577216063467,26.1473115999634,27.9607335070184,30.1799724077014,32.3409528517122,34.143519594842,35.9541506213791,37.6072557774876,38.5681997510788,38.9034804422837,39.6378615425827,39.4609668869742,39.400276355437,39.3155814393651,39.473867145821,39.4841639360608,39.9924986788512,40.295412755434,41.0692760751145,41.9687793888733
circle,27.0908905432008,26.9823491904313,27.3852393449515,27.9903026101988,28.2621051048647,28.6828235983983,29.4199216662489,30.4542597176454,31.2738902199015,32.0587331371783,32.7824060515176,32.9266637042144,33.3230840704739,33.8512691076218,34.7020446389951,35.7305669846999,36.6451832296671,36.9046481748249,36.6622968744881,36.196126880767,35.0965661330754,34.6590648764008,34.3920612194469,34.3859721243651,34.288104146857,34.0222068412776,33.2383205287859,32.8953129866077,32.6241248014854,32.4110544389058,32.922920779267,33.9141058360935,34.9840582963302,35.9823709759443,36.8209396311092,36.9081220895921,36.9104689213362,36.6047312402426,36.478476374437,36.5494171378631,36.3937677928152,36.4956665287894,36.1462064842166,36.488752077775,36.6037647907667,36.3387598432824,36.1438531038288,35.5746522223688,34.2465757423682,33.3903432423748,32.2913333760358,31.5333519830772,30.8962314823901,29.9494886663117,29.4672978877108,28.957895279561,28.8509325407561,28.6863768661613,28.3091518063329,28.1292251048286,28.2533768096512,28.5411145942084,28.9589635458109,28.9655804011667
delete,22.9559082573329,22.4097275930966,22.4881744126815,22.9573299824483,23.2181829721002,23.8130178328711,24.2109225132884,24.9258197534481,25.4594619099491,26.2795978350841,26.4001462557786,26.1099274025845,26.3451173051145,26.5703852247029,26.7579250760923,26.8859868959565,27.0516802939641,27.5035631348689,28.0757074413958,29.2169298300072,30.3318549909052,30.5965458581133,31.1452668976449,32.2162475868851,34.2209138251487,35.6496933532962,37.0143632101038,36.8444026614954,37.0351341875346,37.5952382470695,38.2016398000908,39.1721196243518,40.1214160358226,40.5452420332058,40.3829562658706,39.148660301416,36.7471832992215,34.0805697495912,32.6382073557492,33.0969327458242,33.0647979804143,31.5846931695378,30.4709094412439,29.1864154488631,27.9308027370656,26.4896718015339,25.568925765843,25.2390932725674,24.4082297492695,24.3844045008686,25.6910994647569,26.8994989213926,28.3595522863196,29.3872216591126,30.1631615882218,30.849178965535,31.6662230531671,31.9764759467059,32.4775859155772,33.3720597284329,34.8722867814082,36.4944088547967,38.1933956432222,39.741498437712
left curly brace,27.6445611631187,27.1141280405551,25.181004887994,24.6855204969357,25.5900351326561,27.160114914893,28.8498573227452,30.2551399053865,32.0845047629727,33.6966873984877,35.239935289085,37.0674298192793,37.6288272108841,37.9277995758561,38.934389654938,38.4543231632866,37.7056398422886,36.757680889898,35.9863088633014,35.5887510208407,35.4992725739156,36.1187523545112,37.3005231969331,38.5238821536321,38.7484935827842,37.4175794884175,35.5513180064939,33.4037170483827,30.7527061605306,27.2966159614661,24.2923904503368,20.9997341895381,18.9025245268473,16.5923032172785,15.6483456719884,15.9556633734699,17.9610154202565,20.9982091721552,24.3512236041546,27.5991435304932,30.0891293325031,30.4347002243783,31.1032297441791,32.2074607313652,34.4522446728901,36.5837571797902,38.1295913003925,39.2768638094951,39.7892604123779,40.4956932038379,41.1342005788755,40.9786957102007,40.4762087848676,39.6241753878262,38.7824499098686,37.7789132710053,36.8110817261057,35.6389911797963,34.5194337287243,33.4053233802216,32.6603523886631,32.0192759919577,31.7747199189853,31.9199754325254
left square bracket,32.2623155892973,31.7440975278069,31.5370256394853,31.3396985160728,31.2099614666892,31.2945052343145,31.6271072208706,31.3115387244721,30.8534481993567,30.2131366600108,29.5201744555869,29.7345872976784,30.8867935834072,31.0086409940179,31.5677859324003,31.7799211563603,31.7910080697431,31.3933076390821,30.8777988344004,30.2959073645154,29.1649514162088,27.8698147000423,26.5959527515027,26.0277426761557,24.7761560084192,23.811801205236,22.7409931949823,21.5237029832424,20.2819241856417,19.4771766794943,18.8901329121671,18.5231316794723,17.8481631978053,17.8694772002242,18.1231795054938,18.8880985907244,20.1056016493647,21.5892195390313,23.3744958862715,25.4076218267696,27.6198342337262,29.9238585866119,32.1568479525612,33.6840406998239,35.1146765417248,35.7703465376017,35.8149441858547,35.6960703287263,35.0356201475397,33.4013721964037,32.5242054872166,31.78178096228,31.2893912849326,31.2321164774213,31.1624828280355,31.0894111937441,31.1287503238815,31.3640162639074,31.7582860671396,32.2537353910235,32.6516762019825,32.9663514055492,33.324699888852,33.9411995988654
pigtail,33.8697283867892,34.6474144166026,35.6371163521684,36.7840057901759,37.2311370038864,36.9469855132383,36.2428273197495,35.8733960603673,35.4681281375383,34.4799384759136,33.756774224542,33.5077409025892,33.4362228038958,34.0083244956578,34.1890450647855,33.9767469506998,32.5090255663835,31.4476420995289,31.5949453251138,31.4157152529388,31.5768753177015,33.1420745818548,35.8337014569083,38.1220779031587,41.0826396203724,42.8393917890093,44.9003425753031,47.1061558785782,48.2771904064266,48.8769241233531,49.3459300952458,49.434949386816,49.0488624406686,47.2730747499615,45.4237214897788,43.9124409412188,42.5869230339487,41.1029884121511,39.9767338040856,39.0149780825319,37.4033963784604,35.9146750529931,34.3556990117895,31.5928121205728,28.9812476085129,27.2079009066842,27.0923214764018,28.4272905130563,30.6507209651804,32.7906046809587,35.6077128695447,38.8780654489036,42.1464191263067,43.8632372859974,44.6969837762343,45.6064732487654,46.2672855692986,47.5255862806083,47.9558584693465,47.7836627316377,47.5852542315447,47.1670546695593,46.9568956165562,47.5923581350138
rectangle,35.1202446770501,33.575220790229,36.1319082757203,39.6332912306892,42.3365230278275,43.8210424482682,44.2971214766978,48.1601439426824,55.4231880589767,64.7231465370562,72.7647234038588,78.596236540727,83.7968287391989,86.2747154454743,86.7435143072458,85.5874500995182,84.113328179896,81.4424839029668,79.8275596506252,77.3282181479282,74.4930132323413,71.559660245697,67.1321417630585,63.1604605062699,61.751623585039,63.2090216091258,67.259483742647,73.6460278409284,79.9633611493883,85.7910944994495,91.0648574464619,97.9346029769658,104.903514876427,108.003854273137,106.703562280914,104.131990829222,102.732602738608,100.97770954592,99.0473999310003,97.4928664274186,94.2119967243879,91.3194893808219,87.5614719481642,83.7759913865501,79.1292955522367,72.9358252582875,67.3515203934606,64.1875786105715,60.4018099923551,56.740985340186,54.6634055297727,55.8517137740575,56.8249100865179,56.5972683658547,54.110166689531,50.540759087462,46.2358843522962,42.0380199574419,38.3082250343816,36.4446622930852,36.8511200412004,38.6380639183632,43.491042254069,48.7420689074234
right curly brace,26.6695496722125,27.1826492561601,27.573069385785,28.1484901842126,29.7550250870685,32.1758047243581,35.1210844580531,38.0105905676783,40.970829386283,42.9251124254119,43.5902718346593,44.4840930700685,44.4558733781393,44.235717042792,45.2165737593789,45.5832410046296,44.5843206951725,42.8763092865439,42.471051687654,42.410923715977,42.3654418302008,42.9273986334875,42.656137581138,42.7659933501785,42.0541933858067,40.0176229730948,36.4259730484555,32.1843050085132,27.8929581603655,23.8136038546246,20.9416595398894,19.9409388479327,19.2370386529399,19.5930536455129,20.9057145998721,22.3604227143821,24.6395565657311,27.0854080656253,29.8815262567012,33.0878581843133,36.876743587997,40.5340600835975,44.2002094505652,45.6792525155434,44.8003374126893,43.4278604949681,42.4381942447061,42.4317466016191,42.7707557837332,44.0189360390666,45.6729184314911,48.399441411844,49.736818276226,48.823724489096,46.6235441395022,44.0153084730783,41.4189206392028,39.3069501524684,36.6418587100601,34.1878475620502,31.6367950914566,29.4866700243292,27.7647622067272,27.4281116708943
