Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,26.2582072738017,23.8648965977581,22.6430263142348,21.6626179544211,20.9393859136624,20.1661262933967,19.3933034410616,18.7002999143227,18.0010388733131,17.4406669391514,16.8645066755673,16.2387879990902,15.7970497020767,15.4254930053433,15.0731555663159,14.0283369071021,13.0080894397691,12.1169360834082,11.4719202547254,11.3890950112939,11.7272912267325,12.2109291656743,12.7143546456769,13.2991880281169,13.6216587959854,14.3419477436808,15.4327612083028,16.5494097585283,17.0089176292616,17.0352892822781,16.3914896194187,17.0221330588978,20.1437272978025,22.4832483741311,24.5197810741621,25.3005385417238,25.5233252265817,25.4306121411372,25.4588856036996,25.0678761970579,24.1176860437829,21.326972573585,17.1329088569668,13.0054350887191,11.1728062401249,9.62460250873844,8.65908685565797,8.09328357992079,7.88153143214134,7.55533336804719,7.5739365752392,7.70711954021343,9.04602136279397,11.0945376583871,15.525383534189,17.3409005102586,16.7491386627124,16.4814747896416,16.1404008023857,15.8460403634342,15.2222762504378,15.2969039747999,15.6751433314818,15.6460738560895
caret,12.6895614331746,13.2267140290373,13.5985667330181,14.0869093322094,14.7049699757538,15.1445943540206,15.6823852210043,15.9693378743451,15.7518097834601,15.3754581939412,15.4785014669469,15.6468541091918,15.9917406720304,15.9336230026163,15.9630808459273,15.36476912011,14.638379668312,13.941422407276,13.8389883719093,13.906429548814,14.3210149144035,14.8920376792313,15.5486888951712,16.7551614313072,17.4555617797959,18.2236474978011,18.5690120958288,18.3887709357334,18.3948839778229,18.1010471273628,17.6863846683141,17.0452967790243,15.7184638327959,15.8243935827791,15.7752641705501,15.9393790477769,16.0212027032877,15.6356235309871,15.465727206432,14.9738487309323,14.4412895900082,13.3809355036132,12.7877535392248,12.7794842790375,13.0982029826833,13.7679999776383,14.8501997641279,15.6637150479675,16.4613583977887,17.2389710737906,18.0025455951905,18.6799509928116,19.2142732993965,20.019101240641,20.7727876571216,21.3885786072964,21.2663902593541,21.1099006122974,21.0630101998877,20.8502628990087,20.6420557300616,20.3441769919149,19.6388895616779,18.7059053647638
check,17.2330269312076,15.3936800923966,15.3911973087799,15.6822785445383,16.2430076508549,16.6022767177736,16.9088763768835,17.2849055165387,17.2301670509994,17.0166461343081,17.3269378063158,18.0154193455367,19.1887577968113,20.8095901459004,23.2017337030645,25.7372675753353,27.7903015074592,29.102758868703,32.0888838834384,33.8827905940257,34.1234743912813,33.7505365169125,33.1168270737371,32.2675234603147,31.1413182717285,29.6510763699131,27.7835784114435,25.1424738280504,22.6851137258077,20.5041020422172,17.9889530475177,15.6251904897093,13.5158257521952,11.7589045056786,10.5445030634239,10.0346233833608,10.3734390528248,11.346053091574,12.9093989984529,14.4776002448235,15.1460463739084,15.9111095690538,16.940763037392,18.5997861375669,20.3136988986922,22.1421973303258,24.1317619677026,25.6038041772316,26.3153125548201,26.6386487364867,26.8836813482894,27.0411380483012,26.9800789703854,26.7831864152323,26.6250325479722,26.6865351994014,26.677936273711,26.435703546534,26.4942454659076,26.2468822030376,25.9716446164553,25.7852317666424,25.6252230382133,26.4924790297738
circle,22.9442442755626,25.0873994025507,28.0029743489212,31.0241838988736,34.9802385074575,39.090116761797,43.0447356809312,45.9619378411599,50.0662426682957,52.5595633751986,54.866906404639,56.0064213423943,56.9848546515118,57.828274624685,58.8025452319554,59.9310282183391,61.5742108575728,61.9085981603349,62.1249070726604,61.6805303203811,61.3259951962822,60.6930234129152,60.6789826501114,60.3882958746497,60.0545885847319,59.1958814465077,58.4159462458029,57.2271961756135,56.5572748023315,55.9284854909147,55.7519867684336,55.7776751944175,55.7351764656152,55.7752167755467,55.8212759075482,55.9619605787373,57.6626440796772,58.5912107524317,59.4780970851084,60.7197188280311,62.210030989996,63.1424488185838,63.3359212431614,63.4482552692516,62.9232666882085,63.0636551902224,62.7273331168918,61.8541739231569,59.9017464924264,59.0816792186731,56.9600392449628,54.7445860771686,52.697758828937,50.416430307622,47.9330797024625,43.9161759175443,41.3895943664539,37.9772267362974,34.7216419650695,31.9889292893292,29.2855452637578,26.9038280471832,26.6154977042502,28.7308276613746
delete,18.0777817957126,18.6428016570372,20.4847416313859,23.4509481516782,26.5402951453748,29.6858202052147,32.1325960936014,34.2820902078837,34.7939151683246,35.196830282488,36.5345928999949,37.6469343720658,34.493479795909,30.3072901064094,28.221865616017,27.0491800021941,27.5474949535035,29.8047356404622,31.9293645483038,33.4085212249203,33.0032239017279,33.5453814499053,36.0990320179261,39.9125838663691,41.7850261719116,43.6808146239388,45.2944539925412,45.8433306965748,47.5865368857437,49.9710752012735,51.0277282775184,50.4979224674225,50.8751320739976,50.0141780649935,49.0554999964741,48.8377707637666,48.0952098101471,45.9467447758606,43.4992209291025,41.9243161829649,37.6628987172989,32.9513249483563,30.3849752968355,30.3526627586482,30.7530856930419,31.1943679662287,29.5031477663227,26.3935009463232,26.229034063604,29.2071324875771,33.7301168269648,37.7182386021167,39.0831357004697,37.3780164142579,35.359269762739,35.0443689625223,34.1442643490706,32.2596072573839,30.0992021425747,28.0390052467532,24.9707202720306,22.0273542521008,19.640899304235,19.2515702346773
left curly brace,11.2111152443026,12.4045282167974,13.6736893441961,14.5925419229622,15.5110497258389,16.6086046314787,17.7068801310043,18.8133622389547,18.5088064796697,18.6523270414028,18.9462025565184,19.387909052872,20.1373130610184,21.0446156684916,20.1783803058896,18.5620829153218,18.1923842741706,18.032296235761,17.7264207421834,18.0158048790412,18.6397350268028,18.7813027274175,17.9683977623501,16.6035155025008,15.145105662995,14.0743738976245,14.2300346613712,14.7252530317705,14.8620672358732,13.2548050158407,11.7037879286601,11.4502475224843,14.8503464172879,15.0342929237407,15.1612350613804,14.1825688963076,13.7973121583121,13.6624963913817,13.5751132597411,14.5618001305424,15.5757114701014,15.6185381889132,14.7193792072091,14.3399598346415,14.0056680215813,13.7922564432502,13.6634398211552,13.8453284466678,15.1989831762711,15.9435869132342,15.0750513212538,15.7031195768362,16.823974121608,17.5267426288541,18.1817087361386,19.0693173003826,19.0999902412763,18.6202745102643,17.6644915333419,17.0366477135615,16.2710238247245,15.1355122442975,14.5354332759597,13.6145245934362
left square bracket,18.0453223765175,19.4948623776839,20.7247022963223,21.2713421774191,21.6005207653408,21.7535630210188,22.3915764666452,23.3072183063118,24.4854158081165,25.2614291096897,25.9046777663167,26.5606435061559,27.4271902004094,27.9611417567532,28.5404596389499,28.9514040064022,28.9181060426798,28.9870230954414,28.9759368675464,28.9172525439916,27.8179825298418,26.2648520680217,25.1318559790577,23.9821093949408,22.5784776759943,20.8548084233136,18.8412686530267,16.5255359983363,14.2037662637303,12.4256249021197,11.0934697431613,10.5380739416194,10.8808871589181,12.1007848286415,14.0905702788328,16.5373946493123,18.981283042198,21.2318563607448,23.1410778852443,24.8978082173773,26.467395575519,27.3737608051961,28.2622998840816,28.7193712754029,29.2958838792133,29.7307436149483,29.7177137891894,29.7497678063163,29.7595652877054,29.4103500353792,28.2494350647468,27.7153537066831,28.2595225528866,27.6565770263124,27.1646265857269,25.8899100923607,24.3629710842659,23.0796224462684,22.3883711489125,22.4047564706476,21.9075082762964,21.3771952941315,20.3394564474975,18.8865366161404
pigtail,13.9547432402433,15.9993352533226,18.391043204282,21.2022091759288,22.4466006157282,23.0487034849479,25.1594055145727,28.2186637394857,29.8365709235849,30.6041384627661,31.8195119078206,32.3000424894292,29.0032266746168,25.8048352797692,22.7256997113462,18.6329712705935,15.8137527389723,15.1503166785586,16.8660540102359,19.6749099971287,21.6351756793078,24.1593303107462,27.5408176479963,31.430502503907,33.7922119007138,35.1538801849694,37.6420665709999,40.3395434395982,41.6727235839349,41.9073350377409,41.2659292661308,40.295099812981,39.4929657610865,37.5056115951425,35.9865653715403,35.6111147903636,34.4726117788703,32.9175142364926,31.6300689065868,28.3232889313274,25.2044908942805,21.6787447538558,18.2527180910573,16.421310742142,16.792195218714,21.5597281430635,26.4602975329526,29.6179761211847,33.2032292912491,36.3817637169676,37.2886124232541,36.0341837876201,35.8978297174959,34.989707049865,33.7476636123943,33.4523137380658,32.6022799105045,29.8689593315835,27.1957176354097,25.656400865099,23.5767767961383,20.8996453540894,18.5021407920655,18.1014624111721
rectangle,39.793620611488,39.9200491353678,47.6600364442785,56.0353240211775,63.2808325766021,69.0440441141448,71.5834833307653,70.6050615391916,71.7506874666028,77.3570868745385,86.9967794212839,91.2540219488021,92.3938800009244,95.6515019749678,98.1000280092488,99.2376292062648,95.9896801751346,90.3941813235486,86.5872117310544,86.8565648915465,89.5910172543383,88.4604570761228,81.9408340438564,76.8264394653447,76.1687827814164,77.4900107006627,81.8326096436564,84.0450689385473,87.2086136821692,94.380106322006,103.735860744678,111.973272456649,112.23322678826,107.24282253939,103.402707271229,103.094913511144,105.553911094143,107.190613286061,106.398930173524,105.594599314777,103.180845830813,104.301897875867,106.666554244438,101.986239926411,94.6313408345166,90.6108445286504,87.9688701514686,85.7959617319,83.5287350628635,76.8257422755462,71.6017778800197,72.0051092439971,76.8044445894897,78.2116476303428,75.4655931321206,72.5177644169735,70.742498947292,66.3570738588502,60.872305582746,55.9290655983711,48.1061174794794,40.4120616572939,35.8547967997689,42.812806399942
right curly brace,15.5402417225527,19.577187843461,21.1011602919244,22.3142546286709,23.97528531525,26.6351799192578,30.3951056070017,33.9721988758081,34.9717879685041,34.1212529979752,32.050745107105,28.9613318629883,25.5123537913044,24.3557837202777,24.7485322885571,24.8962316053203,26.4663317952059,29.1645225211079,30.5552535311916,32.2460177256414,33.650440436454,33.7653893016822,31.7725601737608,28.7843523186285,24.7524757849673,22.048891642835,22.3601120605792,22.7491087840417,21.7956730282194,20.5315814662812,17.5107551909351,14.7936946057169,15.4387755930373,18.8471194360435,19.6996779987652,20.2110767394853,18.7035435255145,18.2182823265832,19.2774993568292,23.2225566919864,27.072449031973,31.0307702407619,32.8516576857794,32.2007447705665,30.691323478629,28.1695371298074,25.5672926880297,24.837989423989,24.9866768865198,24.9221832086788,24.2871233435029,26.330973627688,29.5693314697967,32.2372098888703,33.2246071983117,34.0056582257153,33.6968041237119,31.088900458495,28.8052284701092,26.4760907484143,24.173593203138,21.6744898702976,19.1785973663905,17.1829586990656
