Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,35.6932985571292,32.5643616341655,31.7994004942835,30.8755337227858,29.9419405905551,28.9434271220906,28.1017802695208,27.2819383678588,26.3864826033696,25.4495351593142,24.6120076059527,23.6095867593668,23.0734136414057,21.9810701805655,20.3610774631983,18.9266257154837,17.6425716720434,16.6091400878363,15.9146714487478,15.2833545123298,15.0017630165894,14.9147335650953,15.1110572831864,15.1772103772343,15.2167368083849,14.686809744283,13.7513557340792,12.7687201782438,13.6534889757134,16.8301922955886,21.1303057903962,25.3873694095462,29.1392156313508,31.5044574364797,31.372600352661,30.8678311353891,30.0793467116492,29.1750338113293,27.7684794097249,25.067042892844,22.1536667035244,19.3165365247966,17.735147992947,14.9660855853964,13.8392569751875,13.080203767634,12.4467020286209,12.1421399447951,12.4474269727709,12.8732082121731,13.9763540968068,15.2385404613416,16.7154089805001,19.1462129519418,22.88605123437,24.6749078559212,24.2091768278704,23.4249954592575,23.0781789333845,23.170157289274,23.5504922710915,23.6487311981177,24.9732391971485,27.2751226052625
caret,20.6152487010028,19.783028350161,18.7302643097688,17.7984759465449,17.0252526644902,16.3183612523841,15.8158926402753,15.3635211343995,14.91941462832,14.5268831177696,14.0975625668761,13.737247577396,13.4218275160648,12.5819432416894,11.6553733459385,10.7333305531225,9.94893668266421,9.19402921865407,8.83254479220125,8.98855840051286,9.40351358171898,9.95703412843282,10.5767218329421,11.225039394851,11.2386793768052,11.0853379538154,11.2127230287139,11.2928394285005,11.3896593317249,11.7521688940251,11.6119901846376,11.0916659590647,10.2516525673447,10.5182775957383,11.7563834763171,13.0655202564054,13.0771282072549,13.2634436441477,13.3291922347078,13.2223547672147,12.752744415925,12.0186606642958,11.821602878024,11.5092111584629,11.5342379894122,11.6046749632784,11.7333948501457,11.859598332745,11.4939245201284,11.4072847632974,11.4954995261121,11.6426998940031,12.0850761522412,12.5956136551482,13.3062116062922,14.0218014118982,14.1923914863592,14.4651824719966,14.7311193977656,15.0424754178821,15.4439486945222,16.0482821145441,16.6113296281602,16.8910458382362
check,26.7806627938965,24.9135012537098,24.2727891216074,24.0913599285345,23.8305084237121,23.241046740106,22.8220024346043,22.3312056441703,21.704795676708,21.5099882781963,21.4621368584746,21.9634622573406,22.7139013852785,23.8962874018189,24.6334141113738,25.2743984347865,25.0650658063815,25.398159338059,25.918475363033,26.1097737636341,25.8065544254388,25.2522036191392,24.9008745285025,24.6529437456933,24.55174587544,23.6540976620982,21.863208448396,20.2928240688118,18.9705243107534,17.1636817707331,15.2830598926191,13.5049261841697,11.9041292266716,10.8029251970142,10.3734144923111,10.4917849690125,11.1319592497194,12.3369512209685,13.7756311447957,15.0427326092567,15.750676893069,16.519752776297,16.8987241915856,17.4436471229302,18.6341319935712,20.3055922170004,22.1112739708995,23.8172747670745,24.884384835178,25.6994232166633,25.9869238683786,26.0310079871405,26.0901753619255,26.2754747586477,26.0459891204617,25.71723174255,25.3821331314987,25.075482014413,24.6733826281979,24.4138149347301,24.3186039990406,24.2638391756679,24.5802688290614,25.3783859850575
circle,22.7569181329493,24.2471578699902,27.116493211266,28.7944577403839,29.8192294818866,31.857349381268,33.9034747826171,34.8954011880414,36.4607980908773,37.6393766139654,38.8049134432406,39.9480715371841,40.8408495711998,42.0895948202586,43.1323169795661,44.3218845142428,45.0286630199828,45.704490495453,46.5241279983838,46.9791194683186,47.520156754686,48.5484940382867,48.8122937417454,48.5488725619649,48.0469158985576,47.5628129673864,46.6906187867129,45.8364481941265,44.7187536221985,43.1968910799933,41.6597454465529,40.2454312125798,39.9914939376355,40.6253798182947,41.6874048024967,42.6142960263883,43.0026938051105,43.2181242409486,43.7775372021612,44.620811364404,45.7642106191551,46.3969228558486,47.1937905330544,47.1267640084705,46.8190117311948,46.8039875325171,46.9408286031385,46.8350965909694,47.1102217399381,46.5013644445439,45.6861416182256,44.9186391602737,44.1150440245841,41.2240597361089,39.0221584562439,37.5519331450262,35.987794492991,34.4098508404999,31.896617455035,29.5800515191457,27.0878984953847,24.1032934700905,21.7935564071309,20.9700966158803
delete,20.5954402002192,21.0054800438742,21.4195431443381,21.6775573707765,22.2335641926583,21.923330822463,21.9530990438375,21.9956601159198,21.7321692897319,21.5426674504075,21.935157639616,21.8587270714743,20.0891168940766,17.8704844511307,17.9268786790423,20.1450139163879,22.3048765369123,24.5152289060579,24.7315850393648,25.6084403485497,26.5741875086925,28.0738184842715,27.4612976560344,26.9014956868842,26.9543449533974,26.7201055755423,26.6341897228705,27.460484409477,28.4578096134831,28.7542006318457,28.5166153786101,28.6400543727023,28.6123667876666,28.5819621336423,28.8546185045871,28.877299037618,28.3051312241033,29.8367035274244,31.843873677241,32.0010565343034,31.0206062099815,29.3133634235849,27.3261382270477,25.1394933418203,22.825335631983,21.0094322849814,19.3235591595424,18.1879233541591,18.2980712275242,19.526892301496,21.2600725656862,22.4784772404746,23.8681957258567,24.5493170200035,25.2317058427816,26.0160095727625,26.2877789222777,26.1458216314258,25.3322430047046,24.5990613760585,23.8571458108528,23.026531771828,22.2487048774016,25.7888568514468
left curly brace,15.2791339541855,15.6401903983903,15.8777520179958,16.0008527354473,16.0706631196625,16.3617857174157,17.1035190540999,18.2078387874196,18.850937713982,20.0762832547302,20.8717712846116,21.8214189958291,22.389268788913,23.2538702477607,24.5040241717043,25.1927899498654,25.2807006948375,25.1954843092408,24.9721942043464,24.577965468932,24.2827890345298,24.0295010138811,23.9898697428235,23.7708081387706,23.7102662094647,23.1835168938302,22.0430890964735,20.2393037638803,18.2869089999009,16.306382440729,16.8551607844382,19.7284044797788,20.370248588933,19.007209504068,17.0640782345575,16.8697276489544,17.3304886879116,18.0214545539404,19.1931304301818,20.440552332307,20.5464872251334,20.3572059306747,20.0634354143266,19.7560176088166,20.1877767369675,20.8401838924499,21.0720293725863,21.6468646194828,22.1236663776507,22.6708452341899,23.5241750558891,24.0321882507744,24.2471923511131,24.436270388109,24.1229499772175,23.9822480373351,23.872621483187,24.1802866951374,23.9292270346792,23.6064694449356,23.4186933445456,23.2706759081329,22.0511460617839,21.647924040521
left square bracket,17.700688809219,18.671811835542,19.2447697651156,20.3479612804042,21.1532659932093,20.9447517317322,20.6884302479666,21.1066195816345,21.9415130485098,22.903505406951,23.4995405053561,24.1309622155044,24.8313410220047,25.2175051773786,25.599068321325,26.0783711426283,26.5215917153187,27.1016037130908,27.6013274415285,27.8203820555811,27.2742860414301,26.2081953266037,24.9828264103526,23.911950138422,22.5408404376454,20.6665735159654,18.4205101301595,16.2411056862358,14.1495214252984,12.4912078903718,11.3691724912677,11.0434111527695,11.6809521471115,13.1645362096263,15.206884278333,17.56624331013,20.1538675886606,22.8328277418108,25.5744164465891,27.557536815546,28.6459305435555,29.4425230975221,30.6549870917753,31.438716917569,30.9636644785546,30.4620823184435,29.9111293831701,29.0404231700622,28.2593711967452,27.3456711165568,25.9677293559724,24.7116762741622,23.9374738979493,23.812946382409,23.2152980658569,22.2522418356306,21.635986975165,21.7888839995257,22.449314337542,22.4984682423769,21.8302299058167,21.345862200762,21.053357829874,21.5801918905116
pigtail,19.5979586276474,18.8615875171656,18.2255108623266,18.4777279177895,18.8542875020958,19.0238814946758,19.1701606020182,19.4145846944007,19.7024991635861,20.0836489751814,20.2840320970594,20.2129799728701,19.7349213167904,18.2199987565226,16.8172332235267,15.9560936166125,15.5680476981883,15.6936688214814,16.3629273755099,17.4837114153878,18.9410615247,20.5704070089987,22.0250456059963,23.2049313823739,24.1843137858043,24.9837759868028,25.7238076121481,26.3598874088225,26.2905036862145,25.9804302767435,25.272773633423,24.738467710882,24.2738927528036,23.9268963263156,23.6361446996513,23.9775433206945,23.4548131247095,22.7938243190153,21.5871421951422,20.2425033439358,18.5682829566949,16.2583479925871,15.1254211455786,15.2784650959955,16.0892539330864,17.8638356814331,19.6099844465673,21.1405232160494,22.3915782106476,23.2847406475679,23.4763667406467,23.4168315623796,23.7696875275909,23.6911024061192,23.5589609629477,23.0245885603567,22.6703973353469,21.7207160462043,21.6896582038867,21.3366975684731,20.9030155101597,20.6546325403057,20.6664348825752,21.0831615907237
rectangle,27.993459226137,27.5620308631928,29.5895342506065,32.6823958680372,34.9712262556029,38.2862640126659,40.4126147679406,43.6993300521734,48.1511152379725,54.1994594032653,59.6843390614072,60.9621811918126,60.0197157584696,58.471357478704,58.0121405460395,58.0573328105943,55.3034872442056,51.7839043290776,49.7703999015794,49.0363961551181,49.9514524278255,48.0413935507432,46.2785813991728,46.0897575420668,47.4478987400124,48.7000511350824,49.919964995973,53.0209142838784,57.0619347949865,61.8564181961516,66.9793931842544,71.7913089072031,72.1837889049064,70.5652078595211,69.2710021164006,67.937610985154,67.4313349278041,67.8915449976686,67.501788025657,67.2340882853179,67.9273266325625,68.0046787211653,65.3609425640126,60.3650887148749,55.7266616554326,53.4414865004597,52.2496699276407,49.1451222689674,45.4486801530883,42.0922259189302,39.6860550913802,40.4980951477692,42.8162018463588,43.7203196559745,43.1288513169747,43.0014742099415,42.1506997943398,39.7438565583452,36.7593051362617,33.1858378138231,30.3925591786654,28.8074169450486,30.2688579514423,33.2172869110067
right curly brace,19.0839908684342,19.5889295522424,20.0019214792676,20.8024368204673,22.3705758307171,24.4725649503193,26.3551289461628,27.2693257891242,29.5821515963175,31.8953333894368,33.8360380851481,34.8613659235378,36.0692143049826,37.2787298762839,37.2903919538129,36.4436266808406,35.8239602529068,35.4981039323656,35.5091492991432,35.2287030084042,35.4153058770419,37.0851118850316,39.1697872413273,40.4898602406158,39.9283126926427,38.3363091506652,36.3978444288138,34.251607322108,31.8610275320736,27.6812934192586,23.4865649724267,19.5431043779379,17.6399337128883,17.4835605323027,18.9313025883229,21.4792062324734,24.6308125106408,28.1024236380283,30.95685148656,32.1494428906266,32.9134435811211,33.4180509724939,34.2878598902206,35.5982913196302,37.1275343941463,38.3184385085971,39.0210518265128,39.5650152714241,40.0694888256389,40.3006536937145,39.7566758434725,38.4236927131524,36.866467829255,35.389539836632,33.4267966933922,31.8928590893833,30.8650471773172,30.0638914970117,28.5249088734959,27.4834198617106,25.9188859232855,24.5545832354084,23.8105458542008,24.2364454525189
