Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,40.4779647014733,38.7062410292084,37.5569473261801,37.0335290878298,36.6714913453171,36.490823217239,36.6455601966021,36.8460287774703,36.5596817426054,35.7385540717286,35.1492126774089,35.17049239586,35.5142864647865,35.4523212396674,34.9457808407398,33.4738576147364,32.0032338113573,30.2724506462556,28.626334149002,27.4994919062593,27.5229768723046,28.1534050135714,28.3334069717,28.4731121223765,27.6796304040458,26.4001685597704,25.3073982137637,24.5337712100492,24.5806435186037,25.8166103017905,27.3565144257171,30.9597801275842,35.6492059468306,40.0310491188808,46.0046354899621,50.2005900030858,51.4241793447119,50.8279359378961,49.2455573991904,47.2121509045844,44.1259114506565,39.1289463693765,34.2226824429662,33.8901034301242,32.2829176620733,30.982936541381,30.6103275056101,30.5575983127048,30.532063791049,30.1743372690949,29.4935189145895,29.8869508046976,30.4998785550132,31.3937024387048,32.5699857961594,33.0234012780617,33.6361956788375,34.3936708293196,35.8482323728176,35.8484526613454,34.6992768384485,33.4708745706378,32.6012064344347,32.0273254447626
caret,29.1850414088625,28.5844653037117,28.1790803573765,27.7978776664966,27.5543853867291,27.4012392362449,27.3523191776868,27.3823877228417,27.5158184201205,27.6978764522462,27.9323268553776,27.7210085848967,27.3817996369299,27.1072885843936,26.7832606949476,26.2825532523026,25.8934026015766,25.5281996981518,24.8848954244513,24.6080139857989,24.6812733155694,24.947737024168,25.3920756699729,25.8046866624437,26.1367688414585,26.1348642579516,25.6908959665195,24.6031022615744,24.8362781901625,24.3678437869955,24.6450708351423,25.4220277252959,25.6023535443316,25.0274517333628,24.2969068905263,23.7970030467497,23.212802768181,22.6754973804085,22.40647854597,22.3243923374344,22.1165641198986,21.8912316456551,21.8788181395953,21.9587996184167,22.0630341529074,22.3592092166775,22.8512343244252,23.5202972569686,23.9526998824738,24.412991496959,24.9277659257169,24.9930483918944,25.0541735583525,25.1768416155659,25.2816694803016,25.3967198435706,25.5845362988271,25.8180637537357,26.0657551987194,26.4161359848419,27.0161696658207,27.9015060324816,28.830565195453,29.0950861689095
check,34.9726019393271,34.0535293798113,34.0168774529926,34.3593694598238,33.328940239856,32.4629419258697,31.9487722270592,31.3120274919195,31.0246785536279,30.3848362267335,30.9934654062961,32.3159916401044,33.8161653849062,35.1757136391371,34.9699827653289,32.9530711180278,31.2144503811702,30.9310341730602,30.1787247748405,29.841227299576,30.2193015911674,30.9798044722883,31.5309621182439,32.0180041438105,30.6637206967543,28.4899129443656,25.7565906936737,23.6528022473772,20.9103898670524,18.4543926839198,17.0124551057928,16.0014866337394,15.19975135953,14.7257017855065,14.7633807819242,15.0142924758502,14.2336141181021,14.1100379169064,14.4919190663788,15.2743395638243,17.4017475511973,20.3197087651987,22.8973072165204,24.5518105608538,26.7127825472036,28.0338924460265,28.5788422112828,28.8727241044564,29.1532656817715,29.9167084020106,31.1170528447563,31.2620740798311,30.5906199794584,31.671285177621,33.3142815359228,34.9696078069268,36.6371074715839,38.1647537459483,38.7996821843909,38.9076361386918,38.6229912958386,38.4538961913362,38.433951976309,38.538960087503
circle,30.4491033123173,30.0515211395211,30.2469799459287,30.250661734174,30.4878349236778,30.8394859226734,31.2295924317794,31.8739059117005,32.7642550226829,33.7587025186608,34.5294650636252,35.3256672344343,36.1581520672853,36.8467183290837,37.6762322671598,38.5662694306823,39.591688086297,40.4527618873648,41.3196382569024,42.1315551610513,42.8487509515671,43.4330718428889,44.3374711068194,45.6812544696173,46.9367555686025,47.8749252156886,49.0149715283683,49.8656842329355,50.2380507135789,50.3591510172804,50.466864988004,50.2156813314036,49.2711548442248,48.1641104810574,47.3642133543419,47.0284857052756,46.6396128615834,45.9879936837783,45.3681368751781,44.872424138535,44.6781176685497,44.5776077947641,44.8455413603965,44.3993787011942,43.7317250403118,42.7350980448353,41.3756445042217,40.3669641131431,39.1108879194585,38.2746750985962,37.7697175282841,37.1273454114358,36.3450993023318,35.8933506727899,35.8451670940821,35.8837017954089,35.5852650710229,35.1906440737795,34.7944434252432,34.6567253977609,34.7000385032214,34.8217876757579,34.7010055581542,35.6335242027342
delete,27.2328264794944,26.3144822146056,26.0562956171258,26.0363592998152,26.2925483068285,26.642568495732,27.3224689222385,28.2280563423817,29.0544810054482,29.6688087945306,29.1097412260555,28.4252057230573,27.1290266106532,25.7473854088718,24.5527222560977,24.8871178070301,25.5082505184725,26.8300547571636,27.8280005237442,28.165541965529,28.696674723615,29.0959930075626,28.8145043640958,31.7425541945431,36.3810673116929,38.5152009377182,39.15647778361,39.3816144881734,39.9514983200792,40.3246365479965,40.0601265216416,40.7093504085267,41.9556295248054,42.7674778024744,42.6814773061978,41.8864085113542,38.5109461328714,32.8904044561092,30.4989910433582,30.9415593630089,30.1886071992381,28.8959823177868,27.8134280488243,27.5076407244509,26.7149651209778,25.9931555545525,25.8167783221337,26.015897901499,26.9125293442558,28.4010178656257,30.1292288515258,31.063454722609,32.1846249593079,33.2717594710547,33.7337391749748,34.5354177933873,34.2900848697112,34.0202621953688,33.9193424060161,33.8693121700177,34.125869425883,34.7047389311469,35.6411906292207,36.913191232057
left curly brace,24.2901664510742,23.4255252830953,23.4590652230965,24.0930307217088,25.2215213402405,26.2811400529745,27.7180186005322,29.1001288495854,30.7261279368686,32.4479531379083,33.962945782653,34.9629311218853,36.0937443521684,38.1090420911406,40.2327293714847,41.3827538173089,40.6760553360655,39.8984693343972,39.0559862529106,38.8982139331268,39.0123676714902,38.9215145240389,38.8557287071542,37.1989108104819,35.5882711249965,34.7480266867944,33.8463396805838,32.6010404273852,31.1889909580098,28.3578618539152,26.5645168819234,24.5157079760009,21.0205774125331,17.5388684049457,15.3078825821975,15.7096103695008,17.1088213066026,19.5253793145135,22.2106429717154,25.3743313995552,28.412596656733,30.9710212267199,32.7846468584517,35.1014367697681,36.9457324227007,38.2322029418733,39.1901077593739,40.0387564186912,40.7309407537263,41.3143581838783,42.0420751560601,42.7495542056209,42.4342391877977,41.1150255691358,39.3894298201685,38.0475419065581,37.0271204687463,36.5037219143275,35.6101898844186,34.5829576069277,33.4008760170794,32.1155002124388,30.6820517425006,29.8373697338425
left square bracket,25.6500036596388,25.3854677780966,25.0229138135926,24.6059226668749,24.0319170013905,23.5508859488454,23.2325985488274,23.1763597969947,22.6019920907557,22.3966418048947,22.1904033659887,22.0745390633278,22.2959358865828,22.4087234623583,22.409668072056,22.0930354982099,21.6658645154719,21.227277895293,20.7341964298553,19.9226998937911,18.9709751337103,18.0375239566574,17.1237623849861,15.8213069265123,14.613398790829,13.4662657380685,12.319033759626,11.6298169535916,11.2570670529977,11.3950402803136,11.7869390308138,12.4370780871712,13.2601809640454,14.1972636856202,15.1280562706273,16.1573204290613,17.2319253641006,18.2316841738697,19.0029863678754,19.3301493000749,19.4965464841613,19.7846873963077,20.1363810915849,20.3302687322369,20.716643297988,21.1013133941528,21.1943675559604,21.4350293458272,21.6524160479309,21.4615593254032,20.6900580741708,21.7763296728673,23.4715200495743,24.8537492644529,26.5871983493331,27.8509731157154,29.2754324594637,30.5424183412991,31.7755933581463,32.7719330943787,33.3956100865395,33.9905141091771,34.6013796062865,35.2783732148196
pigtail,28.4278915776122,29.9872605818317,34.9033892869702,40.4295499797856,43.9379785334083,45.8159974034296,48.6546221889328,51.570886136839,52.2004723662587,49.5469481883484,46.3660983436497,43.4660404891678,41.6017714921256,39.2967226799991,40.2646994025702,43.389910970135,45.6555020427323,47.1051991532673,48.6256042575406,50.1168865960583,49.1009644243598,47.285912016785,49.5363503519685,55.0017755272459,58.003203987604,58.0540066223946,57.4134043421895,58.1513048556901,58.0087946919717,56.1647587932938,54.2736257826266,51.7014587574779,50.9286861097563,51.2763457375881,47.5098153959836,44.78112067671,44.217678739057,42.88110891247,43.0622060796375,44.5912330979809,46.8597555069894,45.7837766632848,42.010376511428,40.6353154860448,41.9805252062223,42.6358163570594,47.1252766701183,52.8251920712906,54.9406210838784,53.2830970197695,49.7013756324528,50.4479107756506,53.2182428441747,55.0818799696689,54.4714071478593,56.0473522666315,57.4881972923337,57.4613868299751,54.7058862230105,51.1435379837441,47.24051460622,41.8021814119636,35.9409195850826,32.820371644639
rectangle,34.6182579718535,32.597248718626,31.4690549909314,31.3149529729768,31.4238669729542,32.4931586805993,34.1401881002005,35.3731301144075,36.4768777747465,38.2019902851771,39.4962037472008,42.0692548985431,48.458882560852,51.5992974145755,52.5438409448493,52.6190786234315,51.9362801416007,51.589505733213,49.3172641502283,46.6969580615103,43.1303034214109,39.91878320166,37.5295055390657,35.4669689792167,34.5008839701903,35.5272044569423,38.3458703109219,42.4881070058054,47.4808875789157,52.7574853363989,58.0333536309891,62.0051708016829,65.3281928766121,66.615811152468,66.2377293938736,66.0110765789635,65.7248871211384,64.3468227947257,62.7135048134507,60.75691948434,58.7768012948442,55.4471026237129,51.2640901503183,45.3111441125136,45.4253723583562,45.0813761242861,44.369927794412,43.8818012559214,42.6485248828375,40.3735306277901,38.152574190404,36.7068673548046,36.0173291353351,35.138960097209,33.9768598645168,31.9343546663769,30.2167948144924,28.8765060885347,27.7796543163734,27.0443463736905,26.4871592725297,26.9298510014259,28.7230066324312,31.1795995605894
right curly brace,23.6154439340356,23.8796435096671,23.907375848504,24.5087339054349,26.0052911664859,27.8444429287421,29.6751871419045,31.6616041964873,33.5957528767142,35.2324205027846,36.1302490646564,36.5166026939195,37.1963899312226,38.6046606343926,40.2182834076173,41.9039718559612,44.1781788235282,46.8048125832194,48.8690205969979,50.6810352774548,51.8539244680569,52.1398130372357,52.2670139117022,52.0238452007726,50.7846990463532,48.0672714287719,44.5506798712802,40.3409995815324,37.3080115497614,34.9469023042898,31.7356299063088,27.2976320265282,23.5058950366948,23.2353857717752,22.9296639441547,22.6735840028044,23.6564618402272,25.7723770815129,28.9893399567553,33.4882571068719,38.1173354005929,42.6405792304219,46.8605108051594,50.729381280324,53.7633172043001,56.3995613356848,57.9879417315362,58.2464726188102,56.5593559274023,54.3553997049887,51.9078405565622,49.7998084421613,47.7934873828309,46.1692121656645,45.3259424610368,44.2902882732717,42.5635536499771,41.0678989864335,40.1444643203575,39.1171110168213,38.0097225106763,36.9467981508591,35.9768527165483,35.609158611523
right square bracket,42.9166371675296,42.6123032532833,41.4138094830803,39.1111077218796,38.0404500576212,38.0670130533467,38.3869563650674,39.042165482211,40.1800879668591,41.7673695871297,42.599495302053,44.1839118690094,45.2935252076516,45.0744666010315,43.600071416842,42.202761685387,41.1321254238425,40.4604722385922,40.414199724033,41.3061508359674,41.7685681532856,41.2753460171099,39.7696640738693,37.4411043818773,34.4121920354076,32.0609251690696,29.9465661731205,28.4003188290653,27.676045222375,26.426889844076,24.1276724557193,22.0648440426019,21.1198983472872,22.3583226136778,23.8453777064924,25.9888118818868,28.4474427514047,30.6808379822646,32.1032763669752,33.4010614179405,34.5333082488165,35.8258195127366,37.5118679863998,40.425675519142,44.1627562271901,46.7045371139139,47.9099447068701,48.0728056606161,47.7970508333669,47.6984649479968,48.0866795045243,47.7758487008395,47.8876916261871,49.0262769206801,49.379767649866,48.6494854744633,47.4662271473879,46.3638529918486,45.5759749391219,45.2864589119552,45.6783253005274,45.8879222698085,45.413290632806,45.1401716801406
star,42.0367071146951,34.3177193246389,35.9943078733565,37.8979250827431,39.4965869281213,41.1698630750792,45.2676401895849,42.801374855791,41.4550301979794,48.4316393988713,53.6641737835055,62.1343968150077,69.2901417208218,59.7582800197126,57.8797483412611,54.6386440397838,54.8360699061341,56.7551649434592,53.1946388885895,52.5114838136453,55.9471125803139,59.1293963088546,57.8986326150473,59.1130769703463,59.6188852221203,55.2119428269678,54.5965664757199,59.7926643603462,61.3447809746647,56.7566996186344,56.2862540282852,62.0659512974292,66.9570820335307,69.9657011271176,69.8196623152851,65.2738559599137,57.0054213106418,54.5286270578684,53.459625995389,49.4641512884164,49.0423030971099,49.6435834857347,46.3276883742063,47.6026157300549,53.6005188594006,60.5555627877731,66.2785272327025,74.1673383089742,80.5299839116747,81.0972856075576,74.5206129375697,62.8004206327531,49.7501027149701,38.1884922754908,32.4397410592003,33.7933973598534,41.1246861704619,42.6593868160368,40.428926067215,42.5376721776009,43.6864835036917,45.9631342226958,46.4623462510453,53.4628778250659
